psu,entercollege,over475,loantakeup
516.5,0,1,1
416,0,0,0
450.5,0,0,0
340,0,0,0
433.5,0,0,0
399,0,0,0
474.5,0,0,0
492,1,1,1
520.5,0,1,1
385.5,0,0,0
400.5,0,0,0
365.5,0,0,0
389,0,0,0
341.5,0,0,0
318,0,0,0
471.5,0,0,0
460.5,0,0,0
349,0,0,0
387,0,0,0
423,0,0,0
414,0,0,0
417.5,0,0,0
405.5,0,0,0
338,0,0,0
484.5,1,1,1
362,0,0,0
332,1,0,0
552,1,1,1
492,1,1,1
448,0,0,0
381,0,0,0
330.5,0,0,0
315.5,0,0,0
455.5,0,0,0
439.5,0,0,0
402,0,0,0
314,0,0,0
488,0,1,1
501.5,0,1,1
419.5,0,0,0
428,1,0,0
335,0,0,0
301,0,0,0
450,0,0,0
435,0,0,0
406.5,0,0,0
400.5,1,0,0
477.5,1,1,1
501.5,1,1,0
400,0,0,0
401,0,0,0
393,0,0,0
343,0,0,0
404,0,0,0
360.5,0,0,0
315.5,0,0,0
375.5,0,0,0
408,0,0,0
386,0,0,0
393,0,0,0
508.5,1,1,1
319,0,0,0
375,0,0,0
489.5,0,1,1
359.5,0,0,0
374,0,0,0
330,0,0,0
372,0,0,0
485,1,1,0
340.5,0,0,0
337.5,0,0,0
570.5,0,1,1
543,0,1,1
328,0,0,0
447,0,0,0
376,1,0,0
647,0,1,1
336.5,0,0,0
571,0,1,1
611,1,1,1
441.5,0,0,0
518.5,0,1,1
547,1,1,1
330,0,0,0
638,1,1,1
371.5,0,0,0
311,0,0,0
588,0,1,1
561,1,1,1
382,0,0,0
313,1,0,0
580,1,1,1
472,0,0,0
448.5,0,0,0
353,0,0,0
375.5,0,0,0
640,1,1,1
415,0,0,0
508,1,1,1
325,0,0,0
428.5,0,0,0
313,0,0,0
471.5,0,0,0
400.5,0,0,0
514.5,0,1,1
558.5,1,1,1
388.5,1,0,0
376,0,0,0
425,0,0,0
592.5,1,1,1
475.5,0,1,0
352,0,0,0
569,0,1,1
608,0,1,0
523.5,0,1,1
436,1,0,0
444.5,0,0,0
545,1,1,1
472.5,1,0,0
500.5,0,1,0
336,0,0,0
512,0,1,1
325.5,0,0,0
479.5,0,1,1
406.5,0,0,0
656,0,1,1
636,1,1,1
518.5,1,1,1
500.5,0,1,1
430.5,0,0,0
543.5,0,1,1
540.5,1,1,1
561,0,1,0
646.5,1,1,1
482,0,1,1
595.5,1,1,1
409.5,1,0,0
475,1,1,1
592.5,0,1,0
670,1,1,1
681,1,1,0
503.5,0,1,1
442,0,0,0
442.5,0,0,0
626,0,1,1
398,0,0,0
570,1,1,1
368.5,0,0,0
635,1,1,1
570,0,1,1
538,1,1,0
475.5,1,1,1
544,0,1,1
673,1,1,1
431.5,0,0,0
448,0,0,0
476.5,1,1,1
579.5,0,1,1
550.5,0,1,0
527,0,1,1
589,1,1,1
471.5,0,0,0
621,1,1,1
514.5,0,1,1
502.5,1,1,1
524.5,1,1,1
589,1,1,1
535,1,1,1
608.5,1,1,1
341.5,0,0,0
344.5,0,0,0
605.5,0,1,1
652,1,1,1
562.5,1,1,1
502,0,1,0
436.5,0,0,0
670.5,1,1,1
550,1,1,0
357,0,0,0
614,0,1,1
471,0,0,0
636,1,1,1
427.5,0,0,0
533.5,1,1,1
649,1,1,1
393.5,0,0,0
365.5,0,0,0
397.5,1,0,0
578,1,1,0
474.5,0,0,0
470,0,0,0
462.5,0,0,0
485.5,0,1,1
580.5,1,1,1
554.5,0,1,1
540,1,1,1
584,1,1,1
564.5,0,1,1
475.5,0,1,1
500,1,1,1
579.5,1,1,1
423,0,0,0
649.5,1,1,1
668,0,1,1
506,0,1,1
551,1,1,1
474.5,0,0,0
502.5,1,1,1
348.5,1,0,0
538,1,1,1
536.5,0,1,1
380.5,0,0,0
684.5,1,1,1
575,1,1,0
374,0,0,0
401,0,0,0
493,0,1,1
498,0,1,1
468,1,0,0
489,1,1,1
636,1,1,1
677,1,1,1
452.5,0,0,0
338.5,0,0,0
592,1,1,1
446,0,0,0
566.5,1,1,1
402.5,0,0,0
572,0,1,1
472,0,0,0
432,0,0,0
438,0,0,0
508,1,1,0
648.5,1,1,1
455,0,0,0
536.5,1,1,1
570.5,0,1,1
406.5,0,0,0
620.5,0,1,1
432,0,0,0
410,0,0,0
528,0,1,1
496.5,0,1,1
614.5,0,1,1
545,0,1,1
453,0,0,0
405,0,0,0
425.5,0,0,0
466.5,0,0,0
341,0,0,0
431.5,0,0,0
386.5,0,0,0
426.5,0,0,0
699.5,1,1,0
440.5,0,0,0
321.5,0,0,0
441,1,0,0
403.5,0,0,0
448.5,0,0,0
393,0,0,0
421.5,0,0,0
377,0,0,0
396,0,0,0
370.5,0,0,0
415,0,0,0
433,0,0,0
517,1,1,1
497,1,1,1
615.5,1,1,1
431.5,0,0,0
479.5,0,1,0
376.5,0,0,0
336.5,0,0,0
461.5,0,0,0
457,0,0,0
558,1,1,1
456,0,0,0
419,0,0,0
605,0,1,0
503,1,1,1
467,1,0,0
580,1,1,1
399.5,0,0,0
559.5,1,1,1
512,1,1,1
440,0,0,0
581.5,1,1,1
597.5,1,1,1
593,1,1,1
573,1,1,0
686.5,1,1,1
475.5,0,1,1
542,0,1,1
